genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-1751,-0.416703225,0.298154922,Unbiased,-0.281370022,0.886323969,CM009476.1,LG13,X
RBBH-17510,0.537756353,0.444184262,Unbiased,-0.406903009,0.87001758,CM009473.1,LG10,A
RBBH-17511,1.503019882,0.00106355,female_biased,0.268006264,0.877810611,CM009480.1,LG5,A
RBBH-17512,0.335047227,0.6079116,Unbiased,0.752030416,0.457656033,CM009484.1,LG9,A
RBBH-17514,0.200155588,0.848409387,Unbiased,0.42282714,0.87001758,CM009484.1,LG9,A
RBBH-17516,-0.144780074,0.825561265,Unbiased,-0.109296327,0.971423246,CM009474.1,LG11,A
RBBH-17519,0.581836468,0.172779558,Unbiased,-0.486659284,0.628566215,CM009483.1,LG8,A
RBBH-1752,-0.236611224,0.672674554,Unbiased,1.279797199,0.001680818,CM009479.1,LG4,A
RBBH-17520,-0.038051892,0.947712619,Unbiased,-0.871830727,0.072915946,NA,NA,NA
RBBH-17521,-0.179991339,0.768237683,Unbiased,-0.059596925,0.980477705,CM009482.1,LG7,A
RBBH-17522,0.164293476,0.760257792,Unbiased,0.173773736,0.935891169,CM009484.1,LG9,A
RBBH-17524,0.405317932,0.51588855,Unbiased,-0.819893701,0.270763124,CM009478.1,LG3,A
RBBH-17525,-0.374334702,0.623427374,Unbiased,0.317024601,0.921182409,CM009483.1,LG8,A
RBBH-17526,0.309459071,0.527848745,Unbiased,0.294969224,0.854836609,CM009480.1,LG5,A
RBBH-17527,-0.087028951,0.929055952,Unbiased,NA,NA,PGFK01001263.1,NA,NA
RBBH-17528,1.248547682,0.012389537,female_biased,0.030239983,0.993096996,CM009473.1,LG10,A
RBBH-17529,-0.799216422,0.233155111,Unbiased,0.397999958,0.897632883,CM009475.1,LG12,A
RBBH-1753,-0.778870822,0.349234902,Unbiased,0.24841436,0.955667026,CM009484.1,LG9,A
RBBH-17530,-1.102302483,0.022376024,male_biased,1.951516153,0.000636385,PGFK01001247.1,NA,NA
RBBH-17531,-0.735135029,0.189945155,Unbiased,0.911510116,0.222362008,CM009484.1,LG9,A
RBBH-17532,0.297242027,0.543989183,Unbiased,0.074829431,0.976896941,PGFK01001788.1,NA,NA
RBBH-17533,1.302567369,0.000222394,female_biased,0.909455178,0.075294793,PGFK01003638.1,NA,NA
RBBH-17534,-0.597048435,0.116201126,Unbiased,-0.845917238,0.129504088,CM009481.1,LG6,A
RBBH-17536,-1.221043072,0.009471811,male_biased,-0.034426901,0.990833097,CM009473.1,LG10,A
RBBH-17537,0.071570842,0.885843348,Unbiased,-0.353062886,0.751561479,CM009478.1,LG3,A
RBBH-17538,-0.448583265,0.436541521,Unbiased,0.044154433,0.988212839,CM009479.1,LG4,A
RBBH-17542,-1.662158507,0.083563262,Unbiased,2.048692217,0.129032768,CM009476.1,LG13,X
RBBH-17543,0.294481747,0.647329672,Unbiased,0.229851569,0.919172023,CM009483.1,LG8,A
RBBH-17544,0.469612994,0.503578898,Unbiased,-0.239806191,0.941755808,CM009476.1,LG13,X
RBBH-17547,-0.179355017,0.713394109,Unbiased,-0.311672332,0.799139988,CM009479.1,LG4,A
RBBH-1755,0.720744374,0.282683502,Unbiased,-0.094494595,0.972778803,CM009482.1,LG7,A
RBBH-17550,-0.063023379,0.930259684,Unbiased,0.108938833,0.972603389,CM009483.1,LG8,A
RBBH-17552,1.109391257,0.065169534,Unbiased,-0.078457143,0.977001374,CM009475.1,LG12,A
RBBH-17553,-0.544646739,0.481585753,Unbiased,-0.03760829,0.993096996,CM009475.1,LG12,A
RBBH-17554,-0.824579343,0.013064434,male_biased,-0.167288718,0.928474367,CM009480.1,LG5,A
RBBH-17555,-0.484667488,0.259755529,Unbiased,-0.241023662,0.899683717,CM009480.1,LG5,A
RBBH-17556,0.1228312,0.863475702,Unbiased,-0.476861914,0.747411425,CM009479.1,LG4,A
RBBH-17557,0.948857679,0.014452759,female_biased,-0.38648191,0.747411425,CM009477.1,LG2,A
RBBH-17558,0.491603166,0.253086612,Unbiased,0.158319007,0.943411683,CM009478.1,LG3,A
RBBH-1756,0.724190563,0.236861204,Unbiased,0.899029581,0.043478458,CM009475.1,LG12,A
RBBH-17560,0.416599466,0.379209708,Unbiased,0.113670919,0.967168048,CM009478.1,LG3,A
RBBH-17561,-1.499738682,0.001445634,male_biased,0.024777773,0.993348971,CM009476.1,LG13,X
RBBH-17562,-2.090760572,0.011073827,male_biased,0.461383307,0.828094455,CM009479.1,LG4,A
RBBH-17563,0.818801749,0.025632911,female_biased,0.32531362,0.815564317,PGFK01003056.1,NA,NA
RBBH-17567,-0.078709834,0.921270375,Unbiased,-0.265767615,0.928745264,CM009472.1,LG1,A
RBBH-17568,-0.15039824,0.782750449,Unbiased,0.129042335,0.962815721,CM009482.1,LG7,A
RBBH-17569,0.042689838,0.940646715,Unbiased,-0.060413788,0.978814856,CM009478.1,LG3,A
RBBH-1757,0.961014465,0.030224934,female_biased,-0.017301412,0.995764028,CM009484.1,LG9,A
RBBH-17570,0.103674556,0.878653682,Unbiased,-0.467621983,0.712845965,CM009474.1,LG11,A
RBBH-17571,-1.184725665,0.01064136,male_biased,0.224141251,0.914939529,CM009472.1,LG1,A
RBBH-17572,1.500626935,0.000478006,female_biased,0.048767508,0.987057414,CM009481.1,LG6,A
RBBH-17573,-0.224133408,0.734437781,Unbiased,0.653186436,0.517781098,CM009475.1,LG12,A
RBBH-17575,-0.34281495,0.406910238,Unbiased,-0.089788219,0.969965601,CM009473.1,LG10,A
RBBH-17577,-0.25597079,0.758777368,Unbiased,0.141281875,0.965681626,CM009477.1,LG2,A
RBBH-17578,-0.11423634,0.855276913,Unbiased,-0.312353647,0.814998252,CM009480.1,LG5,A
RBBH-1758,0.131100255,0.856863863,Unbiased,0.372807182,0.797913115,CM009477.1,LG2,A
RBBH-17580,0.440089381,0.703286339,Unbiased,-0.640387153,0.747411425,CM009480.1,LG5,A
RBBH-17582,-0.501707174,0.332618673,Unbiased,-0.066521383,0.977420535,CM009477.1,LG2,A
RBBH-17583,0.80628608,0.102991736,Unbiased,-0.390683862,0.814998252,CM009483.1,LG8,A
RBBH-17585,0.718434756,0.072152812,Unbiased,0.049357861,0.982910185,CM009472.1,LG1,A
RBBH-17586,-0.347297843,0.55529007,Unbiased,-0.659251217,0.559092658,CM009482.1,LG7,A
RBBH-17588,0.258158062,0.67167627,Unbiased,-0.239901195,0.913458548,CM009482.1,LG7,A
RBBH-17589,6.597069994,1.35E-31,female_biased,-0.53469089,0.914090867,CM009483.1,LG8,A
RBBH-1759,-0.312675892,0.605042864,Unbiased,0.67339422,0.563667669,CM009477.1,LG2,A
RBBH-17590,-0.518841278,0.324767664,Unbiased,0.904354534,0.131763938,CM009484.1,LG9,A
RBBH-17591,0.747221849,0.174025986,Unbiased,-0.599579047,0.597238847,CM009474.1,LG11,A
RBBH-17592,-0.555350391,0.225988336,Unbiased,-0.283855237,0.874105114,CM009472.1,LG1,A
RBBH-17593,0.175697209,0.872831807,Unbiased,0.414366385,0.917186681,CM009482.1,LG7,A
RBBH-17594,-0.600459929,0.486334774,Unbiased,0.462190316,0.892010871,CM009484.1,LG9,A
RBBH-17597,0.890878485,0.011096479,female_biased,-0.738859011,0.149358039,PGFK01001867.1,NA,NA
RBBH-17598,-0.715590157,0.085240117,Unbiased,0.053976288,0.980477705,CM009481.1,LG6,A
RBBH-17599,2.178470492,6.03E-11,female_biased,0.21608375,0.944022962,CM009478.1,LG3,A
RBBH-176,-0.535548898,0.733829431,Unbiased,-0.374498703,0.973682198,CM009480.1,LG5,A
RBBH-1760,-0.618219207,0.362835241,Unbiased,-0.418110558,0.85248357,CM009475.1,LG12,A
RBBH-17601,-0.074553004,0.89041438,Unbiased,-0.166344873,0.937988651,CM009478.1,LG3,A
RBBH-17602,0.000446267,0.99967696,Unbiased,-0.435063531,0.783640961,CM009479.1,LG4,A
RBBH-17603,-1.408783971,0.013165599,male_biased,1.110809004,0.379024425,CM009483.1,LG8,A
RBBH-17604,-0.180753862,0.74142283,Unbiased,0.122399878,0.965681626,CM009477.1,LG2,A
RBBH-17606,0.121437484,0.833551966,Unbiased,-0.139916439,0.953582789,CM009479.1,LG4,A
RBBH-17607,0.96520288,0.074266302,Unbiased,0.108438967,0.974800993,CM009484.1,LG9,A
RBBH-17608,-0.286634381,0.552227159,Unbiased,-0.303621132,0.828094455,CM009474.1,LG11,A
