genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-12822,0.283054227,0.500335353,Unbiased,-0.447757419,0.55667011,PGFK01001867.1,NA,NA
RBBH-12823,-0.996832887,0.046971082,male_biased,0.426662592,0.825824248,CM009484.1,LG9,A
RBBH-12824,-0.614960347,0.677099309,Unbiased,0.373688899,0.947955337,PGFK01000663.1,NA,NA
RBBH-12825,0.257251269,0.592837621,Unbiased,-0.276171769,0.85862547,PGFK01001788.1,NA,NA
RBBH-12826,1.852658532,0.003668783,female_biased,-1.108197206,0.207133781,CM009474.1,LG11,A
RBBH-12827,0.724866345,0.029464025,female_biased,0.062107262,0.981552825,CM009473.1,LG10,A
RBBH-12828,0.647171239,0.199077185,Unbiased,-0.283067999,0.892591619,CM009472.1,LG1,A
RBBH-12829,-0.01152204,0.985293559,Unbiased,0.11550133,0.96281612,CM009483.1,LG8,A
RBBH-1283,-0.420030742,0.54300968,Unbiased,0.451882595,0.806205657,CM009477.1,LG2,A
RBBH-12830,-0.015463973,0.98882802,Unbiased,-0.831079983,0.677494731,CM009478.1,LG3,A
RBBH-12831,0.602544736,0.145624975,Unbiased,-0.363381402,0.769210287,CM009473.1,LG10,A
RBBH-12832,-0.273514785,0.554913145,Unbiased,0.183743137,0.914939529,CM009472.1,LG1,A
RBBH-12834,-0.849010735,0.142492814,Unbiased,0.22414007,0.928474367,CM009481.1,LG6,A
RBBH-12835,-1.254125148,0.245395088,Unbiased,0.617388236,0.88681341,CM009475.1,LG12,A
RBBH-12836,-0.39127848,0.671317691,Unbiased,-1.834897969,0.065918274,CM009472.1,LG1,A
RBBH-12837,-0.237084721,0.631794648,Unbiased,-0.066296553,0.977420535,CM009482.1,LG7,A
RBBH-12838,0.167534979,0.805844417,Unbiased,-1.327231269,0.03927818,CM009477.1,LG2,A
RBBH-1284,-0.000450205,0.999650485,Unbiased,-0.45099597,0.678998459,CM009472.1,LG1,A
RBBH-12840,-1.165213002,0.002861535,male_biased,0.171797134,0.938381115,CM009477.1,LG2,A
RBBH-12841,2.113674542,0.010733277,female_biased,-0.34332336,0.913458548,CM009482.1,LG7,A
RBBH-12842,-0.402234838,0.596659683,Unbiased,0.342565862,0.892591619,CM009483.1,LG8,A
RBBH-12845,0.080059046,0.907616712,Unbiased,0.124206339,0.968620551,CM009478.1,LG3,A
RBBH-12847,-0.634438984,0.60033469,Unbiased,-0.282688951,0.96281612,CM009472.1,LG1,A
RBBH-1285,0.766429943,0.289734648,Unbiased,0.847609654,0.469750028,PGFK01002391.1,NA,NA
RBBH-12850,0.485803582,0.276265421,Unbiased,0.203138167,0.913458548,CM009483.1,LG8,A
RBBH-12852,0.018100677,0.980305491,Unbiased,0.774734253,0.241132094,CM009477.1,LG2,A
RBBH-12853,-0.222294816,0.606463213,Unbiased,-0.133093177,0.944632517,CM009483.1,LG8,A
RBBH-12854,0.310731156,0.640778308,Unbiased,-0.042545572,0.989081617,CM009472.1,LG1,A
RBBH-12855,-0.265754148,0.832717713,Unbiased,0.847693093,0.677970841,CM009484.1,LG9,A
RBBH-12856,-0.056012388,0.911234723,Unbiased,0.080540407,0.972603389,CM009484.1,LG9,A
RBBH-12857,1.233474163,0.007531375,female_biased,0.245458384,0.955087211,CM009473.1,LG10,A
RBBH-12858,-0.411546059,0.348242506,Unbiased,0.076955687,0.974365244,CM009481.1,LG6,A
RBBH-12859,0.832267709,0.126196852,Unbiased,-0.118985908,0.972800074,CM009475.1,LG12,A
RBBH-1286,-0.312824144,0.630885213,Unbiased,-0.42213893,0.681954675,CM009478.1,LG3,A
RBBH-12860,-0.240870606,0.605701452,Unbiased,-0.154152826,0.94213596,PGFK01002860.1,NA,NA
RBBH-12862,-2.047206915,0.001684697,male_biased,0.18648602,0.969965601,CM009480.1,LG5,A
RBBH-12863,-0.183520541,0.770171547,Unbiased,-0.171281808,0.952210871,CM009482.1,LG7,A
RBBH-12864,-0.288116418,0.712089302,Unbiased,-0.327567474,0.89471414,CM009483.1,LG8,A
RBBH-12865,0.989101574,0.007546241,female_biased,-0.371172266,0.762776135,CM009478.1,LG3,A
RBBH-12867,-0.543484743,0.510449209,Unbiased,0.313931771,0.923451242,CM009481.1,LG6,A
RBBH-12868,-0.541439414,0.341790559,Unbiased,0.597389315,0.509305425,CM009482.1,LG7,A
RBBH-12869,-1.186971798,0.001688311,male_biased,0.903034527,0.236663386,CM009478.1,LG3,A
RBBH-1287,-0.729249846,0.086298059,Unbiased,0.344517968,0.800968495,CM009479.1,LG4,A
RBBH-12870,0.374582906,0.382814362,Unbiased,-0.317239688,0.800968495,CM009484.1,LG9,A
RBBH-12871,-0.126013993,0.846011929,Unbiased,0.2380075,0.908902941,CM009481.1,LG6,A
RBBH-12872,-0.400907721,0.495654131,Unbiased,-0.013035647,0.995764028,CM009478.1,LG3,A
RBBH-12873,-1.010185611,0.001748856,male_biased,0.327769819,0.783188377,CM009479.1,LG4,A
RBBH-12874,-0.308256684,0.669754586,Unbiased,0.948749452,0.246167566,CM009478.1,LG3,A
RBBH-12875,0.437895847,0.373310993,Unbiased,0.477318353,0.652299342,CM009484.1,LG9,A
RBBH-12876,-2.290294654,0.007630195,male_biased,-0.198683743,0.970358009,CM009477.1,LG2,A
RBBH-12877,-0.621886868,0.199079649,Unbiased,0.368842614,0.850537285,CM009482.1,LG7,A
RBBH-12878,0.279642311,0.63815932,Unbiased,-0.215383729,0.932825873,CM009480.1,LG5,A
RBBH-12879,1.844984972,4.48E-06,female_biased,0.251366645,0.909779001,CM009477.1,LG2,A
RBBH-1288,0.126505072,0.807977964,Unbiased,0.507282031,0.517846232,CM009483.1,LG8,A
RBBH-12880,0.816728769,0.242012209,Unbiased,0.057885708,0.989081617,CM009473.1,LG10,A
RBBH-12881,0.583424173,0.345488885,Unbiased,-0.351545631,0.842185151,CM009478.1,LG3,A
RBBH-12882,-1.196930389,6.57E-05,male_biased,0.337665931,0.795475358,CM009479.1,LG4,A
RBBH-12884,-0.781188649,0.213560779,Unbiased,0.587918827,0.677494731,CM009480.1,LG5,A
RBBH-12885,-0.379959314,0.471641892,Unbiased,-0.466231709,0.793101254,CM009473.1,LG10,A
RBBH-12886,2.683656645,1.54E-07,female_biased,-0.38547979,0.870343104,CM009480.1,LG5,A
RBBH-12887,-0.335183794,0.629590935,Unbiased,-0.668156033,0.768898473,CM009483.1,LG8,A
RBBH-12888,0.563054534,0.250820077,Unbiased,-0.06690015,0.979252021,CM009482.1,LG7,A
RBBH-12889,-0.08422941,0.898934716,Unbiased,0.15252503,0.955820666,CM009484.1,LG9,A
RBBH-12890,0.487810449,0.281955622,Unbiased,-0.196803147,0.925980717,CM009472.1,LG1,A
RBBH-12891,-0.047043552,0.945671351,Unbiased,0.113857106,0.972603389,PGFK01002832.1,NA,NA
RBBH-12892,0.144408436,0.811400317,Unbiased,-1.47356635,0.001327652,CM009478.1,LG3,A
RBBH-12894,-0.115343256,0.856689729,Unbiased,0.40121984,0.865528929,PGFK01002481.1,NA,NA
RBBH-12895,-0.744654574,0.236875037,Unbiased,-0.311492496,0.913448873,CM009477.1,LG2,A
RBBH-12896,-0.25928771,0.732455052,Unbiased,-0.577441499,0.784661056,CM009483.1,LG8,A
RBBH-12898,-1.549394626,3.63E-05,male_biased,0.143689294,0.960880867,CM009473.1,LG10,A
RBBH-12899,-0.015882484,0.984549397,Unbiased,-0.500433845,0.677970841,CM009480.1,LG5,A
RBBH-129,0.608432542,0.250622522,Unbiased,-0.568872212,0.647226868,NA,NA,NA
RBBH-1290,0.041029686,0.940963755,Unbiased,-0.367598857,0.718910153,PGFK01001084.1,NA,NA
RBBH-12900,0.047597081,0.94388022,Unbiased,-0.13547077,0.962260904,PGFK01002356.1,NA,NA
RBBH-12901,0.703683919,0.412170804,Unbiased,0.062848318,0.986724772,CM009481.1,LG6,A
RBBH-12902,0.22444949,0.840385725,Unbiased,0.132242784,0.977700137,PGFK01003056.1,NA,NA
RBBH-12903,-0.191634988,0.684009218,Unbiased,-0.226895938,0.897929624,CM009478.1,LG3,A
RBBH-12905,-0.98433844,0.327097891,Unbiased,0.13579211,0.979904344,PGFK01001852.1,NA,NA
RBBH-12906,-0.899104071,0.089552826,Unbiased,-0.262526867,0.94078773,CM009482.1,LG7,A
RBBH-12907,0.444887605,0.35722001,Unbiased,0.287209385,0.875719543,PGFK01002391.1,NA,NA
RBBH-12908,0.23568176,0.760482299,Unbiased,-0.097530668,0.977420535,CM009484.1,LG9,A
RBBH-12909,-1.236463951,0.006685222,male_biased,-0.337275708,0.86981334,CM009480.1,LG5,A
RBBH-1291,-0.38284757,0.516307199,Unbiased,0.245898024,0.910275744,CM009473.1,LG10,A
RBBH-12910,0.999700611,0.244150289,Unbiased,-0.071574996,0.987057414,CM009484.1,LG9,A
RBBH-12912,-0.71029655,0.111073899,Unbiased,0.180487941,0.936114025,CM009474.1,LG11,A
RBBH-12913,1.680821189,0.041285915,female_biased,-0.899628001,0.397669894,CM009476.1,LG13,X
RBBH-12915,-0.367374142,0.552227159,Unbiased,0.428383649,0.85620345,CM009474.1,LG11,A
RBBH-12917,-0.252725445,0.625213956,Unbiased,0.204279807,0.918675187,CM009479.1,LG4,A
RBBH-12918,-0.27150308,0.564289299,Unbiased,-0.534810499,0.498182842,CM009478.1,LG3,A
RBBH-12919,-1.693908965,6.38E-05,male_biased,-0.085767872,0.977001374,CM009483.1,LG8,A
RBBH-1292,-0.624351882,0.080133224,Unbiased,0.043786051,0.982327568,CM009478.1,LG3,A
RBBH-12920,-1.206544743,0.062081257,Unbiased,-0.299739154,0.944094489,CM009479.1,LG4,A
RBBH-12921,0.093654613,0.950340218,Unbiased,0.992548931,0.656076334,CM009478.1,LG3,A
RBBH-12923,0.623655382,0.138435883,Unbiased,0.338387632,0.866251376,CM009472.1,LG1,A
RBBH-12924,-0.130685512,0.858857467,Unbiased,-0.105256742,0.972938545,CM009478.1,LG3,A
RBBH-12925,-0.145341575,0.766018529,Unbiased,-0.108859974,0.965012419,CM009472.1,LG1,A
RBBH-12927,-0.061742731,0.961320718,Unbiased,-0.401533843,0.924925523,CM009477.1,LG2,A
RBBH-12928,-1.236440555,0.021362537,male_biased,0.555224398,0.711829001,CM009473.1,LG10,A
RBBH-12930,0.189244066,0.708529436,Unbiased,-0.16345714,0.936437248,CM009478.1,LG3,A
RBBH-12932,-0.476608688,0.295102702,Unbiased,-0.069424886,0.976896941,CM009479.1,LG4,A
RBBH-12933,-0.341191422,0.526335783,Unbiased,0.253873958,0.910992247,CM009484.1,LG9,A
RBBH-12935,0.493702705,0.533081062,Unbiased,-1.120478429,0.316704141,CM009483.1,LG8,A
RBBH-12936,0.003255893,0.996107863,Unbiased,-0.026309119,0.99203662,CM009472.1,LG1,A
RBBH-12937,-0.159654324,0.762015572,Unbiased,-0.090294089,0.972603389,CM009473.1,LG10,A
RBBH-12938,-0.139041711,0.817821423,Unbiased,0.143870073,0.955667026,CM009479.1,LG4,A
RBBH-12939,-0.012216186,0.986697163,Unbiased,-0.008237568,0.996750569,CM009482.1,LG7,A
RBBH-1294,0.014035929,0.98882802,Unbiased,-0.061360395,0.985650746,CM009479.1,LG4,A
RBBH-12940,-0.015725883,0.983359698,Unbiased,-1.039146212,0.168475893,NA,NA,NA
RBBH-12941,-0.339670637,0.546394133,Unbiased,0.193029033,0.933195404,CM009481.1,LG6,A
RBBH-12942,-0.73416154,0.527253618,Unbiased,-0.244840594,0.969965601,CM009477.1,LG2,A
RBBH-12943,0.269246174,0.718691903,Unbiased,0.732748622,0.531740684,CM009472.1,LG1,A
RBBH-12944,0.729287915,0.10247341,Unbiased,-0.487306782,0.653648389,PGFK01003638.1,NA,NA
RBBH-12945,0.493296156,0.739000831,Unbiased,-0.656507958,0.89471414,CM009478.1,LG3,A
RBBH-12946,-0.35711416,0.540334098,Unbiased,-0.082986888,0.974800993,CM009479.1,LG4,A
RBBH-12947,-0.697592398,0.192395026,Unbiased,-0.168643315,0.962260904,CM009478.1,LG3,A
RBBH-12948,-0.344297031,0.422325795,Unbiased,-0.167787843,0.92876267,CM009481.1,LG6,A
RBBH-1295,-0.698101186,0.288965967,Unbiased,-0.206605998,0.946129894,CM009478.1,LG3,A
RBBH-12950,-0.297582932,0.724578802,Unbiased,NA,NA,CM009480.1,LG5,A
RBBH-12951,0.101862518,0.885395033,Unbiased,0.083609189,0.976239813,CM009477.1,LG2,A
RBBH-12952,-0.394654408,0.327411351,Unbiased,0.03276747,0.987057414,CM009481.1,LG6,A
RBBH-12953,1.799335836,0.040396015,female_biased,0.54389683,0.824435692,NA,NA,NA
RBBH-12955,0.029936194,0.971783961,Unbiased,-0.299687784,0.882506081,CM009482.1,LG7,A
RBBH-12956,-1.307192901,0.007189011,male_biased,0.451040103,0.815367141,CM009481.1,LG6,A
RBBH-12957,1.02051571,0.445501094,Unbiased,0.43584517,0.941755808,CM009478.1,LG3,A
RBBH-12958,-0.537941193,0.32751628,Unbiased,0.429668954,0.773128934,CM009476.1,LG13,X
RBBH-12959,-0.124028699,0.851203495,Unbiased,0.014659896,0.995764028,CM009483.1,LG8,A
RBBH-1296,-0.895627857,0.118636053,Unbiased,1.072920545,0.123991568,CM009479.1,LG4,A
RBBH-12960,-0.135566753,0.864583496,Unbiased,0.139496321,0.969957885,CM009480.1,LG5,A
RBBH-12961,-2.322471739,3.51E-06,male_biased,0.62614144,0.723467849,CM009478.1,LG3,A
RBBH-12962,0.196246308,0.726027183,Unbiased,-0.040907301,0.984262397,PGFK01000663.1,NA,NA
RBBH-12963,-0.078301759,0.910496661,Unbiased,0.010944345,0.996952782,CM009472.1,LG1,A
RBBH-12964,-1.623580581,0.000181208,male_biased,1.130794358,0.090395448,CM009478.1,LG3,A
RBBH-12965,0.55453708,0.212824248,Unbiased,-0.238942306,0.902622286,CM009472.1,LG1,A
RBBH-12966,0.260975618,0.699637643,Unbiased,-0.097045994,0.974936269,CM009477.1,LG2,A
RBBH-12967,0.297695906,0.66714101,Unbiased,-0.348475314,0.89471414,CM009472.1,LG1,A
RBBH-12968,-0.665802613,0.22018333,Unbiased,2.9119818,2.42E-10,CM009474.1,LG11,A
RBBH-12969,0.931028274,0.057208015,Unbiased,-0.828600561,0.167125601,CM009478.1,LG3,A
RBBH-12970,-0.694325964,0.344039687,Unbiased,NA,NA,PGFK01002219.1,NA,NA
RBBH-12971,-0.710519379,0.233925308,Unbiased,-0.143490352,0.964215484,CM009473.1,LG10,A
RBBH-12972,-0.475928256,0.350219976,Unbiased,0.230300678,0.910992247,CM009478.1,LG3,A
RBBH-12973,0.258532022,0.598615147,Unbiased,-0.046725893,0.987057414,CM009481.1,LG6,A
RBBH-12974,1.064471928,0.035227427,female_biased,0.149190396,0.96281612,CM009479.1,LG4,A
RBBH-12975,-0.769966007,0.192352757,Unbiased,1.386159639,0.031807585,CM009482.1,LG7,A
RBBH-12976,2.680669917,0.000129761,female_biased,1.656377927,0.057232915,CM009480.1,LG5,A
RBBH-12977,-0.622667993,0.134790081,Unbiased,-0.209971945,0.913458548,CM009477.1,LG2,A
RBBH-12979,-0.934850397,0.49130507,Unbiased,0.296932305,0.971231246,CM009476.1,LG13,X
RBBH-1298,0.156023865,0.77687431,Unbiased,0.010215966,0.99577865,CM009479.1,LG4,A
RBBH-12980,1.323169001,0.034373557,female_biased,1.143947387,0.216130669,PGFK01000374.1,NA,NA
RBBH-12981,0.368754778,0.77687431,Unbiased,0.068132577,0.989080055,CM009478.1,LG3,A
RBBH-12982,-0.84155119,0.100971562,Unbiased,0.017613383,0.995764028,CM009472.1,LG1,A
RBBH-12983,0.608971693,0.135573294,Unbiased,-0.617756638,0.346209357,CM009483.1,LG8,A
RBBH-12984,0.27128721,0.621663768,Unbiased,0.575995329,0.501115309,CM009481.1,LG6,A
RBBH-12985,0.300506023,0.502976015,Unbiased,-1.201377639,0.002641258,NA,NA,NA
RBBH-12987,0.097558727,0.885168988,Unbiased,-0.556894869,0.602794314,CM009482.1,LG7,A
RBBH-12988,0.224899666,0.779701199,Unbiased,-0.092263788,0.979174801,CM009479.1,LG4,A
RBBH-12989,0.045884468,0.950662378,Unbiased,0.137586046,0.972603389,CM009479.1,LG4,A
RBBH-12990,0.478106565,0.277883363,Unbiased,0.110603217,0.965012419,CM009483.1,LG8,A
RBBH-12991,-0.416949518,0.565192055,Unbiased,0.059261447,0.985762036,CM009482.1,LG7,A
RBBH-12992,-0.313871919,0.563208667,Unbiased,0.392386783,0.790741787,CM009483.1,LG8,A
RBBH-12993,-1.118260657,0.406699226,Unbiased,-1.484676161,0.528946128,PGFK01001818.1,NA,NA
RBBH-12994,-0.329208691,0.690840017,Unbiased,NA,NA,CM009477.1,LG2,A
RBBH-12996,-1.048412255,0.148507283,Unbiased,0.787073619,0.652943791,CM009483.1,LG8,A
RBBH-12997,-0.305848883,0.605042864,Unbiased,-0.410694217,0.839558253,CM009478.1,LG3,A
RBBH-12998,0.336247651,0.635437079,Unbiased,1.026370662,0.378440341,CM009474.1,LG11,A
RBBH-12999,0.232438884,0.652251063,Unbiased,-0.158602166,0.94642689,CM009480.1,LG5,A
RBBH-13,0.021859238,0.98300205,Unbiased,0.161978892,0.966453694,CM009473.1,LG10,A
RBBH-130,-0.012146278,0.994181998,Unbiased,0.73073258,0.906402655,CM009480.1,LG5,A
RBBH-1300,-0.370520156,0.633001455,Unbiased,0.188846639,0.965681626,CM009479.1,LG4,A
RBBH-13000,-0.128020828,0.860295723,Unbiased,0.008970304,0.997135654,CM009482.1,LG7,A
RBBH-13001,-1.598687518,0.01311938,male_biased,1.742071679,0.030551127,CM009477.1,LG2,A
RBBH-13002,-1.000234285,0.327143809,Unbiased,0.669775189,0.865426736,CM009482.1,LG7,A
RBBH-13004,-4.39200527,1.03E-15,male_biased,-0.036587607,0.99116729,CM009484.1,LG9,A
RBBH-13005,0.067673144,0.920107358,Unbiased,-0.469712735,0.690071295,CM009477.1,LG2,A
RBBH-13006,0.817914479,0.023574186,female_biased,-0.65593777,0.257181991,CM009482.1,LG7,A
RBBH-13007,-0.511122595,0.257493055,Unbiased,0.259470095,0.90651243,CM009479.1,LG4,A
RBBH-1301,-0.308683421,0.669677279,Unbiased,0.371868693,0.881574435,CM009482.1,LG7,A
RBBH-13010,0.548027602,0.307250906,Unbiased,-0.681202929,0.462179446,CM009478.1,LG3,A
RBBH-13011,3.373676263,0.00753343,female_biased,0.329388003,0.969965601,CM009478.1,LG3,A
RBBH-13012,0.035940076,0.959235051,Unbiased,0.067608902,0.979009086,CM009484.1,LG9,A
RBBH-13014,-0.371505659,0.447106174,Unbiased,0.195930982,0.927819717,PGFK01001818.1,NA,NA
RBBH-13015,-0.188838295,0.710167087,Unbiased,-0.272010691,0.89471414,CM009474.1,LG11,A
RBBH-13016,-0.384434319,0.382033237,Unbiased,-0.055943993,0.979316759,CM009483.1,LG8,A
RBBH-13018,0.437440117,0.263921599,Unbiased,0.316776552,0.803139027,PGFK01001788.1,NA,NA
RBBH-13019,0.096357082,0.875166332,Unbiased,0.270332413,0.88665052,PGFK01003508.1,NA,NA
RBBH-1302,-0.962283012,0.059715338,Unbiased,0.015248764,0.995764028,CM009474.1,LG11,A
RBBH-13021,-0.057589127,0.917737709,Unbiased,-0.200944869,0.90651243,CM009481.1,LG6,A
RBBH-13022,-0.81370719,0.328198373,Unbiased,0.790881176,0.674662906,CM009482.1,LG7,A
RBBH-13024,-0.388813095,0.594707303,Unbiased,0.304726347,0.924374589,NA,NA,NA
RBBH-13025,-0.438575205,0.289559312,Unbiased,-0.481610883,0.588224768,CM009472.1,LG1,A
RBBH-13026,-0.589770415,0.459695571,Unbiased,0.526077315,0.751561479,CM009479.1,LG4,A
RBBH-13027,-0.402959444,0.633813563,Unbiased,0.674063449,0.699027847,CM009481.1,LG6,A
RBBH-13028,0.33231755,0.61735518,Unbiased,-0.622017486,0.592593643,CM009478.1,LG3,A
RBBH-13029,0.317381783,0.660597971,Unbiased,0.996332657,0.289100716,PGFK01002085.1,NA,NA
RBBH-13031,-1.086238089,0.094794434,Unbiased,0.635028438,0.715600316,CM009477.1,LG2,A
RBBH-13032,0.351129253,0.592173645,Unbiased,-0.099584561,0.979236703,CM009478.1,LG3,A
RBBH-13033,-0.900432036,0.050667342,Unbiased,0.61877127,0.520222345,CM009479.1,LG4,A
RBBH-13034,0.274278794,0.538574878,Unbiased,-0.110151781,0.965012419,CM009472.1,LG1,A
RBBH-13035,0.633554735,0.108610874,Unbiased,0.326281399,0.790185371,CM009480.1,LG5,A
RBBH-13036,-1.315799195,0.141709981,Unbiased,-0.026190232,0.996226733,CM009474.1,LG11,A
RBBH-13037,0.603971882,0.133008673,Unbiased,-0.360286172,0.744462177,CM009479.1,LG4,A
RBBH-13038,-0.645676227,0.103320304,Unbiased,-0.25920975,0.886323969,CM009473.1,LG10,A
RBBH-13039,-0.268894889,0.671026069,Unbiased,-0.240831206,0.930743815,CM009473.1,LG10,A
RBBH-13041,-0.181998259,0.808586767,Unbiased,-0.782164764,0.487747164,CM009477.1,LG2,A
RBBH-13042,0.694286729,0.522740569,Unbiased,0.367751882,0.955087211,CM009477.1,LG2,A
RBBH-13043,-0.134752822,0.778673782,Unbiased,0.04650317,0.98111977,CM009482.1,LG7,A
RBBH-13044,-0.258366165,0.600721172,Unbiased,0.224830178,0.906998302,CM009484.1,LG9,A
RBBH-13045,1.06884699,0.003544244,female_biased,0.377902102,0.846901035,CM009482.1,LG7,A
RBBH-13046,0.248986102,0.692353664,Unbiased,-0.377103999,0.825521292,CM009478.1,LG3,A
RBBH-13047,0.295492212,0.685526315,Unbiased,0.174592216,0.961154701,CM009483.1,LG8,A
RBBH-13048,0.576439459,0.205722177,Unbiased,-0.553742832,0.531740684,PGFK01001096.1,NA,NA
RBBH-13049,2.028145297,0.000328581,female_biased,-0.210995248,0.955667026,CM009478.1,LG3,A
RBBH-1305,0.609842327,0.164210507,Unbiased,-0.43204693,0.699684707,CM009481.1,LG6,A
RBBH-13050,-1.505871514,0.000127275,male_biased,0.125606018,0.965681626,PGFK01001376.1,NA,NA
RBBH-13051,1.491124253,0.070663292,Unbiased,-0.051103299,0.993408291,PGFK01003056.1,NA,NA
RBBH-13053,0.258419226,0.604792383,Unbiased,-0.53593558,0.58162818,CM009475.1,LG12,A
RBBH-13054,-0.04696195,0.929386951,Unbiased,-0.472160148,0.521118082,CM009478.1,LG3,A
RBBH-13056,-0.825254695,0.086128655,Unbiased,0.455906934,0.703569742,CM009476.1,LG13,X
RBBH-13057,0.039602214,0.941663594,Unbiased,-0.192202398,0.904484612,CM009478.1,LG3,A
RBBH-13059,-0.899406601,0.131598371,Unbiased,NA,NA,CM009478.1,LG3,A
RBBH-13060,-0.018806901,0.973260611,Unbiased,0.172231214,0.918675187,CM009478.1,LG3,A
RBBH-13061,-0.225619556,0.757453696,Unbiased,0.307208003,0.930379255,CM009479.1,LG4,A
RBBH-13062,0.346371371,0.645104725,Unbiased,-0.300520329,0.916866908,CM009473.1,LG10,A
RBBH-13063,0.731287402,0.04086678,female_biased,0.164690781,0.928990915,CM009479.1,LG4,A
RBBH-13065,-0.230729901,0.72055373,Unbiased,-0.528091867,0.744741848,CM009481.1,LG6,A
RBBH-13066,0.179522511,0.72808228,Unbiased,-0.160448631,0.944022962,CM009478.1,LG3,A
RBBH-13067,-0.080460564,0.944131179,Unbiased,-0.519933379,0.656076334,CM009473.1,LG10,A
RBBH-1307,-0.445464661,0.311802968,Unbiased,-0.624156875,0.440881991,CM009483.1,LG8,A
RBBH-13070,-0.277988906,0.674032585,Unbiased,-0.67669185,0.715992237,CM009472.1,LG1,A
RBBH-13071,1.118596973,0.119610314,Unbiased,-0.545497953,0.88681341,PGFK01000117.1,NA,NA
RBBH-13072,0.671180336,0.379440319,Unbiased,-0.392924407,0.844819869,CM009483.1,LG8,A
RBBH-13073,-0.316060647,0.549481187,Unbiased,0.023148725,0.994341402,CM009473.1,LG10,A
RBBH-13075,1.031059641,0.001859355,female_biased,-0.133273153,0.949123908,PGFK01002461.1,NA,NA
RBBH-13077,0.048197541,0.955099152,Unbiased,-0.689445209,0.552546473,CM009480.1,LG5,A
RBBH-13078,-0.072895145,0.921179207,Unbiased,-0.098903014,0.974627923,CM009473.1,LG10,A
RBBH-13079,-0.684650964,0.134236023,Unbiased,0.499487264,0.625195288,CM009476.1,LG13,X
RBBH-1308,-0.550869072,0.527368027,Unbiased,1.084910036,0.263837744,CM009472.1,LG1,A
RBBH-13080,-0.820221009,0.249509828,Unbiased,-0.586622232,0.826193574,CM009477.1,LG2,A
RBBH-13082,0.055714499,0.954006491,Unbiased,0.177896866,0.965658658,CM009478.1,LG3,A
RBBH-13084,-1.061350277,0.00414845,male_biased,0.030800025,0.990270871,CM009472.1,LG1,A
RBBH-13085,-0.534525705,0.363406131,Unbiased,0.30485469,0.87579183,CM009479.1,LG4,A
RBBH-13086,0.585400185,0.326505974,Unbiased,-1.429126269,0.034583856,CM009474.1,LG11,A
RBBH-13088,3.493263511,1.02E-05,female_biased,0.150913345,0.976896941,CM009472.1,LG1,A
RBBH-13089,0.214506956,0.841708057,Unbiased,0.541690436,0.776111397,CM009473.1,LG10,A
RBBH-13090,-0.83603328,0.063652051,Unbiased,0.353950231,0.840878832,CM009484.1,LG9,A
RBBH-13091,0.283684784,0.496339501,Unbiased,-0.251245385,0.869482147,CM009472.1,LG1,A
RBBH-13092,0.905618011,0.040734189,female_biased,-0.041132182,0.990270871,PGFK01003155.1,NA,NA
RBBH-13094,0.485546056,0.332896458,Unbiased,-0.395095511,0.731973545,CM009482.1,LG7,A
RBBH-13095,-0.41219545,0.344808345,Unbiased,-0.338334392,0.77093342,CM009483.1,LG8,A
RBBH-13097,0.147183027,0.825277308,Unbiased,0.549995921,0.652442427,CM009481.1,LG6,A
RBBH-13098,-0.216640354,0.717990449,Unbiased,-0.342659079,0.886555734,CM009479.1,LG4,A
RBBH-131,-0.663521455,0.531906863,Unbiased,0.486835863,0.899683717,CM009476.1,LG13,X
RBBH-1310,-0.605328035,0.193861101,Unbiased,0.406326878,0.743356941,CM009482.1,LG7,A
RBBH-13100,-0.060979721,0.906292126,Unbiased,0.041047272,0.983288495,CM009473.1,LG10,A
RBBH-13102,0.463019861,0.543813656,Unbiased,0.139754406,0.971326142,CM009475.1,LG12,A
RBBH-13104,-2.644308805,1.58E-05,male_biased,0.037904625,0.993348971,PGFK01001659.1,NA,NA
RBBH-13105,0.116945337,0.908409801,Unbiased,0.013836751,0.995764028,CM009479.1,LG4,A
RBBH-13106,0.6208638,0.385259379,Unbiased,-1.074583984,0.263837744,CM009482.1,LG7,A
RBBH-13107,0.972569102,0.178084031,Unbiased,0.122062638,0.977658024,CM009479.1,LG4,A
RBBH-13108,-0.40879656,0.454215877,Unbiased,0.206626047,0.948574421,CM009472.1,LG1,A
RBBH-13109,0.265421212,0.787884317,Unbiased,-0.36941811,0.89471414,CM009475.1,LG12,A
RBBH-1311,0.136176671,0.777109295,Unbiased,-0.060001477,0.977420535,CM009483.1,LG8,A
RBBH-13110,-0.547050845,0.454064802,Unbiased,0.572721539,0.696232997,CM009483.1,LG8,A
RBBH-13111,-0.737732193,0.296154268,Unbiased,1.612694133,0.045427079,CM009472.1,LG1,A
RBBH-13112,0.358394772,0.509738811,Unbiased,1.172756931,0.00568546,CM009483.1,LG8,A
RBBH-13113,0.207988212,0.6997886,Unbiased,0.699182907,0.217284416,PGFK01001531.1,NA,NA
RBBH-13114,0.347949167,0.538574878,Unbiased,0.370584765,0.824242817,CM009482.1,LG7,A
RBBH-13116,-1.660794012,4.46E-06,male_biased,0.620604988,0.528946128,CM009482.1,LG7,A
