genename,Tce_RT_log2FC_SB,Tce_RT_FDR_SB,Tce_RT_sexbias,Tce_RT_log2FC_SA,Tce_RT_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-16717,-0.737412354,0.127437878,Unbiased,0.025028458,0.984044642,CM009483.1,LG8,A
RBBH-16718,1.283471917,0.002451444,female_biased,-0.54974418,0.403766047,CM009482.1,LG7,A
RBBH-16719,0.361129494,0.660077554,Unbiased,0.239557238,0.872218414,CM009482.1,LG7,A
RBBH-1672,0.556449213,0.185305107,Unbiased,-0.170185673,0.847955361,CM009484.1,LG9,A
RBBH-16720,-1.558287857,0.036637858,male_biased,0.47156717,0.771524016,CM009472.1,LG1,A
RBBH-16721,2.355295853,0.000491485,female_biased,-0.242727544,0.889860501,CM009477.1,LG2,A
RBBH-16722,0.029166576,0.957453824,Unbiased,-0.211625961,0.7900549,CM009477.1,LG2,A
RBBH-16723,-0.802420678,0.303651458,Unbiased,-0.258711462,0.874553112,CM009473.1,LG10,A
RBBH-16724,-0.057534843,0.946187307,Unbiased,-0.166787358,0.888218136,CM009478.1,LG3,A
RBBH-16725,0.459943064,0.43060907,Unbiased,0.080222325,0.944624134,CM009482.1,LG7,A
RBBH-16726,-3.490259536,1.29E-07,male_biased,1.865921334,0.033491001,CM009479.1,LG4,A
RBBH-16727,-0.167930775,0.742720486,Unbiased,0.269585643,0.748950296,CM009474.1,LG11,A
RBBH-16730,-2.006820876,3.13E-06,male_biased,1.297553795,0.01511189,CM009474.1,LG11,A
RBBH-16731,1.093835538,0.018357926,female_biased,-0.190773274,0.848374712,CM009474.1,LG11,A
RBBH-16733,0.26882356,0.681706252,Unbiased,-0.665177902,0.403004526,CM009479.1,LG4,A
RBBH-16734,-0.734814601,0.334425015,Unbiased,0.386960471,0.8052214,CM009481.1,LG6,A
RBBH-16735,0.735016345,0.261484449,Unbiased,0.836910166,0.335447816,PGFK01001788.1,NA,NA
RBBH-16736,0.332398795,0.600843978,Unbiased,0.165017079,0.88936766,CM009477.1,LG2,A
RBBH-16737,-2.414597578,4.18E-05,male_biased,-0.041831168,0.98107271,CM009483.1,LG8,A
RBBH-16738,-1.481449522,0.036892493,male_biased,-0.716375518,0.698318313,CM009478.1,LG3,A
RBBH-16739,-1.236205084,0.201921829,Unbiased,0.861174992,0.630060449,CM009482.1,LG7,A
RBBH-16742,-0.039964401,0.945869864,Unbiased,0.127397214,0.891075322,CM009473.1,LG10,A
RBBH-16743,-0.743496107,0.069678922,Unbiased,0.483051827,0.480934838,CM009483.1,LG8,A
RBBH-16745,-0.47051285,0.528360064,Unbiased,0.405257307,0.763582985,CM009483.1,LG8,A
RBBH-16748,0.188074338,0.733956795,Unbiased,0.353247581,0.689965079,CM009473.1,LG10,A
RBBH-16750,1.931461678,0.030881368,female_biased,-1.446626138,0.277355813,CM009481.1,LG6,A
RBBH-16751,-0.269112094,0.600041058,Unbiased,0.303431469,0.705454008,PGFK01001818.1,NA,NA
RBBH-16752,-1.825408164,0.000491485,male_biased,0.001410337,0.99952363,CM009481.1,LG6,A
RBBH-16753,-0.206022653,0.683365117,Unbiased,0.537317403,0.423473995,CM009483.1,LG8,A
RBBH-16754,1.535061128,0.000236006,female_biased,-0.394638453,0.627097115,CM009476.1,LG13,X
RBBH-16755,0.432052628,0.708095523,Unbiased,-0.061965352,0.97535052,CM009476.1,LG13,X
RBBH-16756,-0.515022507,0.371698311,Unbiased,1.197761791,0.045091653,CM009477.1,LG2,A
RBBH-16757,-0.222619624,0.782606282,Unbiased,-0.870653241,0.296705197,CM009476.1,LG13,X
RBBH-16758,0.404312581,0.519373434,Unbiased,0.462748641,0.673901742,CM009478.1,LG3,A
RBBH-16759,4.023498758,3.46E-07,female_biased,-2.077399414,0.02356594,CM009482.1,LG7,A
RBBH-1676,0.59536847,0.311740796,Unbiased,0.014937498,0.991362299,CM009479.1,LG4,A
RBBH-16760,-1.059275395,0.004121418,male_biased,0.079149229,0.933918144,CM009472.1,LG1,A
RBBH-16762,0.212106379,0.738379805,Unbiased,-0.212270947,0.844150322,CM009478.1,LG3,A
RBBH-16763,-0.13958813,0.910133336,Unbiased,-0.212977569,0.928083123,CM009478.1,LG3,A
RBBH-16765,0.74873532,0.088652111,Unbiased,-0.695394934,0.275866494,CM009479.1,LG4,A
RBBH-16766,-1.723790374,6.07E-06,male_biased,-0.550986891,0.39300256,CM009484.1,LG9,A
RBBH-16770,-6.193763625,1.17E-32,male_biased,-3.440849667,1.05E-09,CM009484.1,LG9,A
RBBH-16774,-3.703140206,0.004806274,male_biased,1.351850723,0.29193574,CM009479.1,LG4,A
RBBH-16775,0.663490546,0.256787759,Unbiased,-0.125467333,0.907286285,CM009478.1,LG3,A
RBBH-16776,-0.901938881,0.156927687,Unbiased,0.810604637,0.449449554,CM009472.1,LG1,A
RBBH-16777,-0.348656736,0.547675828,Unbiased,-0.318733218,0.724215619,CM009479.1,LG4,A
RBBH-16778,1.314227686,0.005851099,female_biased,-0.427967108,0.632795658,CM009474.1,LG11,A
RBBH-16779,1.197691839,0.019757758,female_biased,0.305119591,0.737401635,CM009483.1,LG8,A
RBBH-1678,-0.235658242,0.704559166,Unbiased,0.116666013,0.926084382,CM009484.1,LG9,A
RBBH-16780,1.174690695,0.001720609,female_biased,0.145480144,0.871984347,PGFK01000374.1,NA,NA
RBBH-16781,0.070081719,0.943754789,Unbiased,-1.892643938,0.003249712,CM009480.1,LG5,A
RBBH-16782,2.738993117,2.49E-10,female_biased,-0.265398694,0.748913697,PGFK01002391.1,NA,NA
RBBH-16783,-2.020450267,0.001021906,male_biased,2.001099001,0.003249712,CM009472.1,LG1,A
RBBH-16785,-1.889287221,1.76E-06,male_biased,1.123572717,0.024517616,CM009479.1,LG4,A
RBBH-16786,0.501946471,0.298449772,Unbiased,-0.417013065,0.558437923,CM009474.1,LG11,A
RBBH-16789,-3.518861244,0.000105156,male_biased,1.276075264,0.475857487,CM009481.1,LG6,A
RBBH-1679,-1.670128305,0.046511656,male_biased,0.580520727,0.739200444,CM009472.1,LG1,A
RBBH-16790,-0.510809106,0.294081259,Unbiased,0.17269749,0.857113524,CM009482.1,LG7,A
RBBH-16791,1.28415198,0.298454724,Unbiased,0.273773743,0.909603271,CM009481.1,LG6,A
RBBH-16792,0.426246107,0.315057854,Unbiased,-0.916844488,0.044976923,CM009482.1,LG7,A
RBBH-16794,-0.603026288,0.31979751,Unbiased,-1.773851464,0.002738219,CM009475.1,LG12,A
RBBH-16795,-0.906252518,0.021675053,male_biased,0.062527278,0.950493601,CM009480.1,LG5,A
RBBH-16796,-3.600388193,3.38E-18,male_biased,0.384118617,0.651963935,CM009476.1,LG13,X
RBBH-16797,-0.274739429,0.606790513,Unbiased,0.389006987,0.596405733,CM009483.1,LG8,A
RBBH-168,1.691444926,0.002620111,female_biased,-0.917962078,0.279338668,CM009480.1,LG5,A
RBBH-16801,1.091773023,0.157331232,Unbiased,1.595215818,0.078004937,CM009472.1,LG1,A
RBBH-16802,1.042165122,0.03235022,female_biased,-0.600967309,0.477771079,CM009474.1,LG11,A
RBBH-16804,-3.458521486,0.000135232,male_biased,0.868476597,0.636572325,CM009473.1,LG10,A
RBBH-16807,1.366899569,0.001781437,female_biased,-0.882065797,0.083198373,CM009483.1,LG8,A
RBBH-16808,0.960107906,0.027882969,female_biased,-0.229717153,0.787211529,CM009478.1,LG3,A
RBBH-16809,-1.299597669,0.000663153,male_biased,-0.581485323,0.357763191,CM009478.1,LG3,A
RBBH-1681,-0.39634162,0.547374618,Unbiased,-0.449141451,0.641856143,CM009482.1,LG7,A
RBBH-16811,0.122391288,0.823558021,Unbiased,-0.431304896,0.592232218,CM009482.1,LG7,A
RBBH-16812,-0.906348571,0.230589668,Unbiased,0.701107099,0.357611869,CM009475.1,LG12,A
RBBH-16817,-0.747120539,0.290418596,Unbiased,1.765596986,0.000890147,PGFK01001818.1,NA,NA
RBBH-16818,1.030798448,0.153831375,Unbiased,-0.14168995,0.929590095,CM009482.1,LG7,A
RBBH-16819,-0.733277989,0.237294057,Unbiased,0.480705271,0.68904513,CM009474.1,LG11,A
RBBH-16820,-1.045265364,0.567282308,Unbiased,1.147077904,0.665682407,CM009481.1,LG6,A
RBBH-16821,1.037305067,0.004777472,female_biased,0.081761389,0.931461994,PGFK01002391.1,NA,NA
RBBH-16826,0.231046081,0.693739855,Unbiased,-0.238522737,0.772253285,CM009483.1,LG8,A
RBBH-16827,0.397939875,0.623309323,Unbiased,-0.212704992,0.900847218,CM009476.1,LG13,X
RBBH-16828,0.599277257,0.292052365,Unbiased,0.034398372,0.980533662,CM009473.1,LG10,A
RBBH-1683,-0.44353936,0.573551646,Unbiased,0.146757241,0.931002614,CM009484.1,LG9,A
RBBH-16830,0.22990757,0.770019518,Unbiased,0.663632304,0.511079883,CM009479.1,LG4,A
RBBH-16832,-2.58429216,0.011503205,male_biased,1.05995295,0.434135594,CM009480.1,LG5,A
RBBH-16833,1.711968224,0.00509601,female_biased,-0.828589885,0.399776559,CM009479.1,LG4,A
RBBH-16834,-0.205622495,0.886219933,Unbiased,0.981526432,0.60034825,CM009480.1,LG5,A
RBBH-16838,-0.696736912,0.098638713,Unbiased,0.746749985,0.169389139,PGFK01001837.1,NA,NA
RBBH-16839,0.412424328,0.505035153,Unbiased,-2.576628072,1.56E-06,PGFK01001263.1,NA,NA
