genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-17142,0.159132779,0.975845482,Unbiased,-0.528975006,0.279419917,CM009479.1,LG4,A
RBBH-17145,1.601064899,0.001218962,female_biased,-0.360987573,0.465618197,CM009479.1,LG4,A
RBBH-17147,0.373583254,0.841127032,Unbiased,0.021439339,0.974003461,CM009479.1,LG4,A
RBBH-17148,0.135235489,0.967782251,Unbiased,0.2823064,0.407828731,CM009474.1,LG11,A
RBBH-17149,-0.170420533,0.967782251,Unbiased,1.182691592,8.36439E-05,CM009484.1,LG9,A
RBBH-1715,0.077910351,0.99594508,Unbiased,0.960466494,0.14036783,CM009480.1,LG5,A
RBBH-17151,0.678919904,0.829748668,Unbiased,-0.361901385,0.642682325,CM009478.1,LG3,A
RBBH-17153,0.274969157,0.90763007,Unbiased,-0.424906441,0.140368795,CM009475.1,LG12,A
RBBH-17154,0.701563413,0.44921821,Unbiased,-0.656375117,0.12097879,CM009479.1,LG4,A
RBBH-17156,-0.453391204,0.598126316,Unbiased,-0.140366589,0.746350896,CM009474.1,LG11,A
RBBH-17159,-0.709859299,0.090050423,Unbiased,0.508514003,0.053473446,CM009481.1,LG6,A
RBBH-1716,-0.36475926,0.885405977,Unbiased,0.131866715,0.813866408,CM009483.1,LG8,A
RBBH-17165,-0.247899382,0.951823226,Unbiased,0.283817628,0.476094587,CM009477.1,LG2,A
RBBH-17166,0.68499521,0.382455084,Unbiased,-0.246580721,0.595286256,CM009478.1,LG3,A
RBBH-17167,0.165806895,0.971489035,Unbiased,-0.40838333,0.418740909,CM009474.1,LG11,A
RBBH-17169,0.052685375,0.992227784,Unbiased,-0.585000747,0.066259576,CM009483.1,LG8,A
RBBH-1717,0.102375823,0.980980293,Unbiased,0.056849922,0.900692953,CM009478.1,LG3,A
RBBH-17170,-0.301184101,0.975845482,Unbiased,1.536407648,0.000142456,CM009480.1,LG5,A
RBBH-17171,0.142340225,0.970689866,Unbiased,-0.116212914,0.758419423,CM009479.1,LG4,A
RBBH-17172,0.060054987,0.992060377,Unbiased,0.550133233,0.139082912,CM009481.1,LG6,A
RBBH-17173,0.644683325,0.893630911,Unbiased,-0.485539508,0.638777003,CM009479.1,LG4,A
RBBH-17175,0.446409434,0.901978993,Unbiased,-0.595233904,0.329062646,CM009479.1,LG4,A
RBBH-17178,0.475405315,0.620884533,Unbiased,0.544553511,0.065931797,CM009481.1,LG6,A
RBBH-17179,0.315858238,0.861133015,Unbiased,-0.066486198,0.898549655,CM009481.1,LG6,A
RBBH-17180,0.737979025,0.639358119,Unbiased,-0.267716207,0.583456326,CM009481.1,LG6,A
RBBH-17181,0.116912906,0.97092831,Unbiased,-0.367011345,0.185239668,CM009479.1,LG4,A
RBBH-17182,0.453326802,0.768231415,Unbiased,-0.477177551,0.332461946,PGFK01001247.1,NA,NA
RBBH-17184,-0.31300178,0.924093981,Unbiased,0.033110922,0.974837394,CM009482.1,LG7,A
RBBH-17185,0.355050076,0.885047208,Unbiased,-0.692271888,0.06515018,PGFK01001531.1,NA,NA
RBBH-17186,-0.091672959,0.987663039,Unbiased,1.582496006,8.57928E-05,CM009472.1,LG1,A
RBBH-17187,-0.539053243,0.654652527,Unbiased,0.146446366,0.805893854,CM009473.1,LG10,A
RBBH-17188,0.271152607,0.902174332,Unbiased,-0.456719949,0.158456011,CM009476.1,LG13,X
RBBH-1719,-0.15119941,0.964859235,Unbiased,0.066747793,0.881461964,CM009481.1,LG6,A
RBBH-17190,-0.492833576,0.60346727,Unbiased,0.098257567,0.79392743,CM009479.1,LG4,A
RBBH-17191,0.021066862,0.997640133,Unbiased,-0.330509468,0.289734825,CM009474.1,LG11,A
RBBH-17193,0.080674564,0.981498797,Unbiased,-0.033837382,0.939902786,CM009478.1,LG3,A
RBBH-17194,-0.636877086,0.312548572,Unbiased,0.666842562,0.031546537,CM009483.1,LG8,A
RBBH-17195,0.306730183,0.929299707,Unbiased,-0.408973121,0.53214227,CM009472.1,LG1,A
RBBH-17196,0.159161224,0.975845482,Unbiased,0.134281042,0.823487493,CM009484.1,LG9,A
RBBH-17197,-0.14021817,0.974239964,Unbiased,-0.440941302,0.265661914,CM009484.1,LG9,A
RBBH-17198,-0.305870539,0.924093981,Unbiased,-0.008902459,0.989735733,CM009480.1,LG5,A
RBBH-17199,-0.196910687,0.971489035,Unbiased,0.330596767,0.464153073,CM009474.1,LG11,A
RBBH-172,0.106125902,0.980980293,Unbiased,-0.090089653,0.878162804,CM009476.1,LG13,X
RBBH-1720,-0.077509381,0.985210004,Unbiased,0.492730505,0.067627798,PGFK01000128.1,NA,NA
RBBH-17200,0.55754765,0.612821095,Unbiased,-0.306025882,0.507888134,CM009472.1,LG1,A
RBBH-17202,0.030768398,0.996509478,Unbiased,0.431709792,0.195034764,CM009479.1,LG4,A
RBBH-17203,-0.455303393,0.676879286,Unbiased,0.198983352,0.647448899,CM009472.1,LG1,A
RBBH-17204,-0.142146791,0.978351944,Unbiased,0.682424201,0.111591029,CM009478.1,LG3,A
RBBH-17206,0.17568904,0.930256015,Unbiased,-0.043247058,0.92229263,PGFK01001832.1,NA,NA
RBBH-17207,0.125453025,0.984255436,Unbiased,0.580804345,0.364772566,PGFK01002634.1,NA,NA
RBBH-17208,0.591419406,0.346420503,Unbiased,0.094359136,0.868479669,CM009473.1,LG10,A
